state,date,creditcardSpend
AL,2020-01-01,0
AK,2020-01-01,0
AZ,2020-01-01,0
AR,2020-01-01,0
CA,2020-01-01,0
CO,2020-01-01,0
CT,2020-01-01,0
DE,2020-01-01,0
DC,2020-01-01,0
FL,2020-01-01,0
GA,2020-01-01,0
HI,2020-01-01,0
ID,2020-01-01,0
IL,2020-01-01,0
IN,2020-01-01,0
IA,2020-01-01,0
KS,2020-01-01,0
KY,2020-01-01,0
LA,2020-01-01,0
ME,2020-01-01,0
MD,2020-01-01,0
MA,2020-01-01,0
MI,2020-01-01,0
MN,2020-01-01,0
MS,2020-01-01,0
MO,2020-01-01,0
MT,2020-01-01,0
NE,2020-01-01,0
NV,2020-01-01,0
NH,2020-01-01,0
NJ,2020-01-01,0
NM,2020-01-01,0
NY,2020-01-01,0
NC,2020-01-01,0
ND,2020-01-01,0
OH,2020-01-01,0
OK,2020-01-01,0
OR,2020-01-01,0
PA,2020-01-01,0
RI,2020-01-01,0
SC,2020-01-01,0
SD,2020-01-01,0
TN,2020-01-01,0
TX,2020-01-01,0
UT,2020-01-01,0
VT,2020-01-01,0
VA,2020-01-01,0
WA,2020-01-01,0
WV,2020-01-01,0
WI,2020-01-01,0
WY,2020-01-01,0
AL,2020-01-02,0
AK,2020-01-02,0
AZ,2020-01-02,0
AR,2020-01-02,0
CA,2020-01-02,0
CO,2020-01-02,0
CT,2020-01-02,0
DE,2020-01-02,0
DC,2020-01-02,0
FL,2020-01-02,0
GA,2020-01-02,0
HI,2020-01-02,0
ID,2020-01-02,0
IL,2020-01-02,0
IN,2020-01-02,0
IA,2020-01-02,0
KS,2020-01-02,0
KY,2020-01-02,0
LA,2020-01-02,0
ME,2020-01-02,0
MD,2020-01-02,0
MA,2020-01-02,0
MI,2020-01-02,0
MN,2020-01-02,0
MS,2020-01-02,0
MO,2020-01-02,0
MT,2020-01-02,0
NE,2020-01-02,0
NV,2020-01-02,0
NH,2020-01-02,0
NJ,2020-01-02,0
NM,2020-01-02,0
NY,2020-01-02,0
NC,2020-01-02,0
ND,2020-01-02,0
OH,2020-01-02,0
OK,2020-01-02,0
OR,2020-01-02,0
PA,2020-01-02,0
RI,2020-01-02,0
SC,2020-01-02,0
SD,2020-01-02,0
TN,2020-01-02,0
TX,2020-01-02,0
UT,2020-01-02,0
VT,2020-01-02,0
VA,2020-01-02,0
WA,2020-01-02,0
WV,2020-01-02,0
WI,2020-01-02,0
WY,2020-01-02,0
AL,2020-01-03,0
AK,2020-01-03,0
AZ,2020-01-03,0
AR,2020-01-03,0
CA,2020-01-03,0
CO,2020-01-03,0
CT,2020-01-03,0
DE,2020-01-03,0
DC,2020-01-03,0
FL,2020-01-03,0
GA,2020-01-03,0
HI,2020-01-03,0
ID,2020-01-03,0
IL,2020-01-03,0
IN,2020-01-03,0
IA,2020-01-03,0
KS,2020-01-03,0
KY,2020-01-03,0
LA,2020-01-03,0
ME,2020-01-03,0
MD,2020-01-03,0
MA,2020-01-03,0
MI,2020-01-03,0
MN,2020-01-03,0
MS,2020-01-03,0
MO,2020-01-03,0
MT,2020-01-03,0
NE,2020-01-03,0
NV,2020-01-03,0
NH,2020-01-03,0
NJ,2020-01-03,0
NM,2020-01-03,0
NY,2020-01-03,0
NC,2020-01-03,0
ND,2020-01-03,0
OH,2020-01-03,0
OK,2020-01-03,0
OR,2020-01-03,0
PA,2020-01-03,0
RI,2020-01-03,0
SC,2020-01-03,0
SD,2020-01-03,0
TN,2020-01-03,0
TX,2020-01-03,0
UT,2020-01-03,0
VT,2020-01-03,0
VA,2020-01-03,0
WA,2020-01-03,0
WV,2020-01-03,0
WI,2020-01-03,0
WY,2020-01-03,0
AL,2020-01-04,0
AK,2020-01-04,0
AZ,2020-01-04,0
AR,2020-01-04,0
CA,2020-01-04,0
CO,2020-01-04,0
CT,2020-01-04,0
DE,2020-01-04,0
DC,2020-01-04,0
FL,2020-01-04,0
GA,2020-01-04,0
HI,2020-01-04,0
ID,2020-01-04,0
IL,2020-01-04,0
IN,2020-01-04,0
IA,2020-01-04,0
KS,2020-01-04,0
KY,2020-01-04,0
LA,2020-01-04,0
ME,2020-01-04,0
MD,2020-01-04,0
MA,2020-01-04,0
MI,2020-01-04,0
MN,2020-01-04,0
MS,2020-01-04,0
MO,2020-01-04,0
MT,2020-01-04,0
NE,2020-01-04,0
NV,2020-01-04,0
NH,2020-01-04,0
NJ,2020-01-04,0
NM,2020-01-04,0
NY,2020-01-04,0
NC,2020-01-04,0
ND,2020-01-04,0
OH,2020-01-04,0
OK,2020-01-04,0
OR,2020-01-04,0
PA,2020-01-04,0
RI,2020-01-04,0
SC,2020-01-04,0
SD,2020-01-04,0
TN,2020-01-04,0
TX,2020-01-04,0
UT,2020-01-04,0
VT,2020-01-04,0
VA,2020-01-04,0
WA,2020-01-04,0
WV,2020-01-04,0
WI,2020-01-04,0
WY,2020-01-04,0
AL,2020-01-05,0
AK,2020-01-05,0
AZ,2020-01-05,0
AR,2020-01-05,0
CA,2020-01-05,0
CO,2020-01-05,0
CT,2020-01-05,0
DE,2020-01-05,0
DC,2020-01-05,0
FL,2020-01-05,0
GA,2020-01-05,0
HI,2020-01-05,0
ID,2020-01-05,0
IL,2020-01-05,0
IN,2020-01-05,0
IA,2020-01-05,0
KS,2020-01-05,0
KY,2020-01-05,0
LA,2020-01-05,0
ME,2020-01-05,0
MD,2020-01-05,0
MA,2020-01-05,0
MI,2020-01-05,0
MN,2020-01-05,0
